Name	Price	Link
Asus Zenfone 5z	R$ 2,717	https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-8gb-256gb
Xiaomi Black Shark 2	R$ 2,127	https://www.kimovil.com/en/where-to-buy-black-shark-black-shark-2-global
Huawei P30	R$ 2,272	https://www.kimovil.com/en/where-to-buy-huawei-p30-al00
Huawei Mate 10	R$ 3,226	https://www.kimovil.com/en/where-to-buy-huawei-mate-10
Huawei Mate 10	R$ 1,329	https://www.kimovil.com/en/where-to-buy-huawei-mate-10-l09
Samsung Galaxy S9+	R$ 2,727	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plus
Samsung Galaxy S8+	R$ 2,166	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s8-plus
Samsung Galaxy S8+	R$ 1,703	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s8-plus4gb-64gb-g955fd
Meizu 16th Plus	R$ 1,654	https://www.kimovil.com/en/where-to-buy-meizu-16th-plus
Meizu 16th Plus	R$ 1,654	https://www.kimovil.com/en/where-to-buy-meizu-16th-plus-8gb-128gb-cn
Samsung Galaxy Note 9	--	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-9-us
Lenovo Z5 Pro GT	R$ 1,969	https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro-gt
Vivo NEX S	--	https://www.kimovil.com/en/where-to-buy-vivo-nex-s-global
Huawei Honor V20 MOSCHINO	R$ 1,880	https://www.kimovil.com/en/where-to-buy-huawei-honor-v20-moschino
Huawei Honor View 20	R$ 2,214	https://www.kimovil.com/en/where-to-buy-huawei-honor-view-20
Huawei Honor View 20	R$ 2,657	https://www.kimovil.com/en/where-to-buy-huawei-honor-view-28-256gb
Samsung Galaxy S10	--	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s10-sm-g973u-512gb
ZTE Axon 9 Pro	--	https://www.kimovil.com/en/where-to-buy-zte-axon-9-pro
Huawei Mate 20 PRO	--	https://www.kimovil.com/en/where-to-buy-huawei-mate-20-pro-l09
Samsung Galaxy S9+	R$ 2,271	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plus-dual-sim
Samsung Galaxy S9+	R$ 2,534	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plusg965fd-6gb-256gb
Huawei P20 Pro	R$ 2,173	https://www.kimovil.com/en/where-to-buy-huawei-p20-pro-al00-6gb-128gb
HTC U12+	--	https://www.kimovil.com/en/where-to-buy-htc-u12-plus
Asus Zenfone 5z	R$ 1,720	https://www.kimovil.com/en/where-to-buy-asus-zenfone-5zzs620kl-vc-6gb-64gb
UMIDIGI F1 Play	R$ 776	https://www.kimovil.com/en/where-to-buy-umidigi-f1-play
Huawei P30	--	https://www.kimovil.com/en/where-to-buy-huawei-p30-6gb-128gb-single-sim
Pocophone F1	--	https://www.kimovil.com/en/where-to-buy-xiaomi-pocophone-f1-armoured-edition-128gb
Xiaomi Black Shark 2	R$ 2,678	https://www.kimovil.com/en/where-to-buy-black-shark-black-shark-2-global-12gb
Huawei P30	R$ 2,642	https://www.kimovil.com/en/where-to-buy-huawei-p30-8gb-128gb-al00
OnePlus 7 Pro	--	https://www.kimovil.com/en/where-to-buy-oneplus-7-pro-us-6gb-128gb
Xiaomi Mi 9T	R$ 1,591	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9t
Xiaomi Mi 9T	R$ 1,626	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9t-6gb-128gb
Xiaomi Mi Mix 2	R$ 1,569	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2
Huawei Mate 10	R$ 1,370	https://www.kimovil.com/en/where-to-buy-huawei-mate-10-4gb-64gb-al10
OnePlus 5T	R$ 1,174	https://www.kimovil.com/en/where-to-buy-oneplus-5t
OnePlus 5T	R$ 1,174	https://www.kimovil.com/en/where-to-buy-oneplus-5t-8gb-128gb
Huawei Mate 10 Pro	R$ 1,871	https://www.kimovil.com/en/where-to-buy-huawei-mate-10-pro-6gb-128gb
Samsung Galaxy S8+	--	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s8-plus-g955u
Samsung Galaxy Note 9	R$ 3,343	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-9
Oneplus 6T	R$ 3,147	https://www.kimovil.com/en/where-to-buy-oneplus-6t-mclaren-cn
Redmi Note 7	R$ 604	https://www.kimovil.com/en/where-to-buy-redmi-note-7
Redmi Note 7	R$ 697	https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-4gb-64gb
UMIDIGI S3 Pro	R$ 1,048	https://www.kimovil.com/en/where-to-buy-umidigi-s3-pro
Redmi Note 7	R$ 612	https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-global
Redmi Note 7	R$ 709	https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-global-64gb
Redmi Note 7	R$ 764	https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-global-4gb-128gb
Oppo R17 Pro	R$ 3,221	https://www.kimovil.com/en/where-to-buy-oppo-r17-pro
Samsung Galaxy Note 9	R$ 3,493	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-9-8gb-512gb-eu-n960fd
Pocophone F1	R$ 1,900	https://www.kimovil.com/en/where-to-buy-xiaomi-poco-f1-armoured-edition
Asus Zenfone 5z	R$ 1,767	https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-zs620kl-va
Nokia X7	R$ 957	https://www.kimovil.com/en/where-to-buy-nokia-x7
Huawei Mate 20	--	https://www.kimovil.com/en/where-to-buy-huawei-mate-20-single-sim
Huawei Mate 20	R$ 1,749	https://www.kimovil.com/en/where-to-buy-huawei-mate-20-al00
Samsung Galaxy S9+	R$ 2,565	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plus-eu
Samsung Galaxy S9+	R$ 2,727	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plus-g965-6gb-128gb
Samsung Galaxy S9+	--	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plus-g965-6gb-256gb
Redmi Note 7	R$ 736	https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-cn-4gb-128gb
Huawei P30	R$ 2,980	https://www.kimovil.com/en/where-to-buy-huawei-p30-8gb-256gb-al00
Asus ZenFone 6	R$ 2,169	https://www.kimovil.com/en/where-to-buy-asus-zenfone-6
Xiaomi Mi MIX 2	R$ 1,785	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2-6gb-256gb
Xiaomi Mi MIX 2	R$ 1,358	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2-6gb-128gb
Xiaomi Mi MIX 2	R$ 1,569	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2-special-edition
Google Pixel 2 XL	R$ 1,434	https://www.kimovil.com/en/where-to-buy-google-pixel-2-xl
Huawei Mate 10	R$ 2,479	https://www.kimovil.com/en/where-to-buy-huawei-mate-10-6gb-128gb
Google Pixel 2 XL	R$ 1,453	https://www.kimovil.com/en/where-to-buy-google-pixel-2-xl-128gb
Vivo NEX S	R$ 2,092	https://www.kimovil.com/en/where-to-buy-vivo-nex-ultimate
HTC U12+	R$ 2,548	https://www.kimovil.com/en/where-to-buy-htc-u12-plus-6gb-128gb
Samsung Galaxy Note 9	--	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-9-8gb-eu
Samsung Galaxy S7 Edge	R$ 1,264	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s7-edgesm-g9350-dual
Nokia X7	R$ 1,222	https://www.kimovil.com/en/where-to-buy-nokia-x7-ta-1131-6gb-64gb
Nokia X7	R$ 1,262	https://www.kimovil.com/en/where-to-buy-nokia-x7-ta-1131-6gb-128gb
Lenovo Z5 Pro	R$ 1,041	https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro
Nubia Red Magic Mars	R$ 1,374	https://www.kimovil.com/en/where-to-buy-nubia-red-magic-mars
UMIDIGI F1	R$ 610	https://www.kimovil.com/en/where-to-buy-umidigi-f1
Huawei nova 4	R$ 1,677	https://www.kimovil.com/en/where-to-buy-huawei-nova-4-high
Redmi Note 7	R$ 795	https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-6gb-64gb
Samsung Galaxy S10 Plus	--	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s10-plus-sm-g975u-1tb
Meizu Note 9	R$ 760	https://www.kimovil.com/en/where-to-buy-meizu-note-9-6gb-64gb
Xiaomi Mi 9	R$ 3,338	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-8gb-128gb-global
Asus ZenFone 4 Pro	R$ 2,135	https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-pro-64gb
Xiaomi Redmi Note 6 Pro	R$ 586	https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-6-pro
Xiaomi Redmi Note 6 Pro	R$ 630	https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-6-pro-64gb
LG V40 ThinQ	--	https://www.kimovil.com/en/where-to-buy-lg-v40-thinq
Xiaomi Mi8 Lite	R$ 889	https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite-global
Huawei Mate 20 PRO	R$ 3,170	https://www.kimovil.com/en/where-to-buy-huawei-mate-20-pro-8gb-128gb-al10
Xiaomi Mi8 Lite	R$ 693	https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite-global-64gb
LG V30S	--	https://www.kimovil.com/en/where-to-buy-lg-v30s
Asus Zenfone 5z	R$ 1,990	https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z
Xiaomi Mi Mix 2s	R$ 2,915	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2s-256gb
LG G6	R$ 1,900	https://www.kimovil.com/en/where-to-buy-lg-g6-h870ds-32gb
Nubia Z18	R$ 1,546	https://www.kimovil.com/en/where-to-buy-nubia-z18
Meizu 15 Plus	R$ 1,240	https://www.kimovil.com/en/where-to-buy-meizu-15-plus-64gb-global
Meizu Note 9	R$ 756	https://www.kimovil.com/en/where-to-buy-meizu-note-9-global
Huawei P30 Pro	--	https://www.kimovil.com/en/where-to-buy-huawei-p30-pro-single-sim
Huawei P30 Pro	R$ 4,966	https://www.kimovil.com/en/where-to-buy-huawei-p30-pro-8gb-512gb
Huawei P30	R$ 3,105	https://www.kimovil.com/en/where-to-buy-huawei-p30-8gb-128gb
LG V40 ThinQ	--	https://www.kimovil.com/en/where-to-buy-lg-v40-thinq-dual-sim
Huawei P30 Pro	R$ 4,040	https://www.kimovil.com/en/where-to-buy-huawei-p30-pro-8gb-256gb-al00
Asus Zenfone 5z	R$ 2,899	https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-zs620kl-va-8gb-256gb
Samsung Galaxy Note 8	--	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-8
LG V30	--	https://www.kimovil.com/en/where-to-buy-lg-v30
Xiaomi Mi Note 3	R$ 797	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-note-3-128gb
Huawei Mate 10 Pro	--	https://www.kimovil.com/en/where-to-buy-huawei-mate-10-pro-l09
Huawei Mate 10 Pro	R$ 1,812	https://www.kimovil.com/en/where-to-buy-huawei-mate-10-pro
