Name,Price,Link,Antutu,Custo Benefício
Redmi Note 7,850,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-6gb-64gb,144599,00170
Asus Zenfone 5,801,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5-ze620kl,136645,00170
Xiaomi Mi Note 3,819,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-note-3,139313,00170
Xiaomi Mi A2,791,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-a2-128gb,134292,00169
Asus ZenFone Max Pro (M1),687,https://www.kimovil.com/en/where-to-buy-asus-zenfone-max-pro-m1-4gb-64gb,116618,00169
LeEco Le Max 3,1019,https://www.kimovil.com/en/where-to-buy-leeco-le-max-3,173165,00169
Lenovo K5 Pro,678,https://www.kimovil.com/en/where-to-buy-lenovo-k5-pro-6gb-128gb,115000,00169
ZTE Axon 7s,774,https://www.kimovil.com/en/where-to-buy-zte-axon-7s,130703,00168
Xiaomi Mi8 Pro,1623,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-pro-global,271164,00167
Lenovo S5 Pro,686,https://www.kimovil.com/en/where-to-buy-lenovo-s5-pro,115000,00167
OnePlus 6,1757,https://www.kimovil.com/en/where-to-buy-oneplus-6-8gb-128gb,292275,00166
Nokia 7 Plus,851,https://www.kimovil.com/en/where-to-buy-nokia-7-plus,141701,00166
LeEco Le Max 2,917,https://www.kimovil.com/en/where-to-buy-leeco-letv-le-max-2-6gb-64gb,152866,00166
Lenovo S5 Pro,696,https://www.kimovil.com/en/where-to-buy-lenovo-s5-pro-6gb-128gb,115000,00165
Oneplus 6T,1803,https://www.kimovil.com/en/where-to-buy-oneplus-6t-cn-6gb-128gb,297132,00164
Xiaomi Mi8,1646,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-6gb-256gb,271164,00164
OnePlus 5T,1295,https://www.kimovil.com/en/where-to-buy-oneplus-5t,212558,00164
HTC U Ultra,1035,https://www.kimovil.com/en/where-to-buy-htc-u-ultra,168929,00163
Vivo X20 Plus,870,https://www.kimovil.com/en/where-to-buy-vivo-x20-plus,142418,00163
Xiaomi Black Shark,1816,https://www.kimovil.com/en/where-to-buy-xiaomi-black-shark-128gb,294520,00162
Xiaomi Redmi Note 3 Pro,563,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-3-pro,91531,00162
Nubia V18,465,https://www.kimovil.com/en/where-to-buy-nubia-v18,75426,00162
Lenovo S5,467,https://www.kimovil.com/en/where-to-buy-lenovo-s5-64gb,75452,00161
Xiaomi Black Shark 2,2458,https://www.kimovil.com/en/where-to-buy-black-shark-black-shark-2-8gb-256gb,395000,00160
Meizu 16,1024,https://www.kimovil.com/en/where-to-buy-meizu-16,164726,00160
Meizu X8,1024,https://www.kimovil.com/en/where-to-buy-meizu-x8-128gb-global,164726,00160
Xiaomi Mi8 Pro,1697,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-pro,271164,00159
Oneplus 6T,1885,https://www.kimovil.com/en/where-to-buy-oneplus-6t-cn-in-8gb-128gb,297132,00157
Xiaomi Mi Mix 3,1801,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-3,284123,00157
Xiaomi Mi8 Lite,914,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite-6gb,143942,00157
OnePlus 5,1340,https://www.kimovil.com/en/where-to-buy-oneplus-5,210069,00156
Xiaomi Mi MIX 2,1331,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2-special-edition,206574,00155
Smartisan Nut Pro 2,912,https://www.kimovil.com/en/where-to-buy-smartisan-nut-pro-2-4gb-64gb,142195,00155
Lenovo S5,483,https://www.kimovil.com/en/where-to-buy-lenovo-s5-3gb-32gb,75214,00155
Asus Zenfone 5z,1780,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-zs620kl-b,274499,00154
Nubia Z18,1813,https://www.kimovil.com/en/where-to-buy-nubia-z18-8gb-128gb,280085,00154
Xiaomi Mi Note 3,901,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-note-34gb-64gb,139313,00154
Xiaomi Mi6,1324,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-6,205176,00154
Meizu M6 Note,488,https://www.kimovil.com/en/where-to-buy-meizu-m6-note-3gb-32gb-eu,75254,00154
Meizu M6 Note,487,https://www.kimovil.com/en/where-to-buy-meizu-m6-note3gb-32gb,75254,00154
Xiaomi Mi Mix 3,1858,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-3-global,284123,00152
Xiaomi Mi 9 SE,1166,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-se-cn,177243,00152
Xiaomi Mi8 Lite,946,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite-global,143942,00152
Lenovo Z5 Pro GT,2427,https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro-gt-8gb-128gb,371273,00152
Nokia X6,715,https://www.kimovil.com/en/where-to-buy-nokia-6-1-plus6gb-64gb-ta-1099,109000,00152
Samsung Galaxy A6s,881,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-a6s-sm-g6200-128gb,134700,00152
Coolpad Cool Play 6,525,https://www.kimovil.com/en/where-to-buy-coolpad-cool-play-6,80263,00152
Xiaomi Mi Mix 3,1880,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-3-8gb-128gb-cn,284845,00151
