Name,Price,Link,Antutu
Meizu 15 Plus,1956,https://www.kimovil.com/en/where-to-buy-meizu-15-plus-6gb-128gb,184706
UMIDIGI Z2 Pro,776,https://www.kimovil.com/en/where-to-buy-umidigi-z2-pro,130000
Meizu 15 Plus,2212,https://www.kimovil.com/en/where-to-buy-meizu-15-plus-6gb-128gb-global,184706
Meizu Note 9,910,https://www.kimovil.com/en/where-to-buy-meizu-note-9m923h-4gb-128gb-global,178976
Huawei P30 Pro,4530,https://www.kimovil.com/en/where-to-buy-huawei-p30-pro-8gb-512gb-al00,309056
UMIDIGI A5 Pro,398,https://www.kimovil.com/en/where-to-buy-umidigi-a5-pro,82550
Asus ZenFone 6,2542,https://www.kimovil.com/en/where-to-buy-asus-zenfone-6eu-6gb-128gb,366412
Asus Zenfone 5z,2199,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-zs620kl-va-4gb-64gb,274499
Samsung Galaxy Note 8,2159,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-8-dual-sim,199868
Xiaomi Mi Note 3,788,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-note-3,139313
OnePlus 5,1690,https://www.kimovil.com/en/where-to-buy-oneplus-5-a5000-plus,210069
Vivo NEX S,3414,https://www.kimovil.com/en/where-to-buy-vivo-nex-ultimate-8gb-256gb,291277
Asus Zenfone 5z,2422,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-zs620kl-vc-6gb-128gb,274499
Ulefone Armor 3T,990,https://www.kimovil.com/en/where-to-buy-ulefone-armor-3t-antena,83000
Nubia X,1772,https://www.kimovil.com/en/where-to-buy-nubia-x-128gb,275000
Nubia Red Magic Mars,1874,https://www.kimovil.com/en/where-to-buy-nubia-red-magic-mars-8gb-128gb,320971
Oneplus 6T,3982,https://www.kimovil.com/en/where-to-buy-oneplus-6t-mclaren-eu,297132
Sony Xperia XZ3,2314,https://www.kimovil.com/en/where-to-buy-sony-xperia-xz3-h9493,260000
Vivo V15 Pro,1577,https://www.kimovil.com/en/where-to-buy-vivo-v15-pro,179327
Lenovo S5 Pro,629,https://www.kimovil.com/en/where-to-buy-lenovo-s5-pro-6gb-128gb,115000
Vivo iQOO,2251,https://www.kimovil.com/en/where-to-buy-vivo-iqoo-8gb-128gb,361408
Meizu Note 9,1125,https://www.kimovil.com/en/where-to-buy-meizu-note-9-128gb,178976
Google Pixel 3 XL,2951,https://www.kimovil.com/en/where-to-buy-google-pixel-3-xl,275000
Lenovo S5 Pro,647,https://www.kimovil.com/en/where-to-buy-lenovo-s5-pro,115000
Huawei Mate 20 PRO,3614,https://www.kimovil.com/en/where-to-buy-huawei-mate-20-pro-8gb-256gb-al10,313561
Sony Xperia XZ2 Premium,1992,https://www.kimovil.com/en/where-to-buy-sony-xperia-xz2-premium,265507
UMIDIGI Z2,523,https://www.kimovil.com/en/where-to-buy-umidigi-z2,83212
Nubia Z18,1743,https://www.kimovil.com/en/where-to-buy-nubia-z18-8gb-128gb,280085
Huawei Honor 10,983,https://www.kimovil.com/en/where-to-buy-huawei-honor-10-eu-128gb,213381
Vivo V15 Pro,1577,https://www.kimovil.com/en/where-to-buy-vivo-v15-pro-global,179327
Realme X Lite,1087,https://www.kimovil.com/en/where-to-buy-realme-x-lite-6gb-64gb,137500
LG G6,1352,https://www.kimovil.com/en/where-to-buy-lg-g6lgh870ds-128gb,156293
Asus ZenFone 4 ZE554KL,658,https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-ze554kl-sd660,102356
Huawei Mate 10 Pro,3085,https://www.kimovil.com/en/where-to-buy-huawei-mate-10-pro-128gb,213133
Xiaomi Mi Note 3,871,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-note-34gb-64gb,139313
LG G6,2999,https://www.kimovil.com/en/where-to-buy-lg-g6,156293
Xiaomi Mi6,1280,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-6,205176
OnePlus 5,1287,https://www.kimovil.com/en/where-to-buy-oneplus-5,210069
Huawei Honor Play,910,https://www.kimovil.com/en/where-to-buy-huawei-honor-play-6gb,209437
Samsung Galaxy A8s,1182,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-a8s,170000
Huawei nova 4,1304,https://www.kimovil.com/en/where-to-buy-huawei-nova-4,209500
Lenovo Z5s,745,https://www.kimovil.com/en/where-to-buy-lenovo-z5s,166232
Huawei Mate 20 PRO,3881,https://www.kimovil.com/en/where-to-buy-huawei-mate-20-pro-256gb-l29,313561
UMIDIGI Z2,621,https://www.kimovil.com/en/where-to-buy-umidigi-z2-special-edition,81542
Asus Zenfone 5,1236,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5-ze620kl-vc,136645
Sony Xperia XZ3,4112,https://www.kimovil.com/en/where-to-buy-sony-xperia-xz3,260000
Nubia X,1851,https://www.kimovil.com/en/where-to-buy-nubia-x,275000
Google Pixel 3 XL,3476,https://www.kimovil.com/en/where-to-buy-google-pixel-3-xl-128gb,275000
Xiaomi Mi Max 3,889,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-max-3global-4gb-64gb-cn,118397
Asus ZenFone 4 Pro,1842,https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-pro,175256
Xiaomi Mi Max 3,893,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-max-3,118397
Meizu 15 Plus,1739,https://www.kimovil.com/en/where-to-buy-meizu-15-plus,184706
Xiaomi Redmi Note 5,599,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-5-6gb-64gb,116663
Asus ZenFone 4 ZE554KL,709,https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-ze554kl-cn-sd660,102356
Asus ZenFone 4 ZE554KL,544,https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-ze554kl-tw-sd630-2,71200
Huawei Honor 10,1083,https://www.kimovil.com/en/where-to-buy-huawei-honor-10,213381
Huawei Honor 10,1284,https://www.kimovil.com/en/where-to-buy-huawei-honor-10-eu-64gb,213381
Samsung Galaxy A70,1353,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-a70,170979
Ulefone Armor 6E,775,https://www.kimovil.com/en/where-to-buy-ulefone-armor-6e,137000
Realme X Lite,1009,https://www.kimovil.com/en/where-to-buy-realme-x-lite,137500
Realme X Lite,1242,https://www.kimovil.com/en/where-to-buy-realme-x-lite-6gb-128gb,137500
Wiko View 3 pro,986,https://www.kimovil.com/en/where-to-buy-wiko-view-3-pro-4gb-64gb,142153
Asus Zenfone 5z,2443,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-zs620kl-va-6gb-128gb,274499
Asus ZenFone 4 ZE554KL,543,https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-ze554kl,71200
